"","social_br.date","social_br.blog","social_br.twitter","social_br.news","social_br.total"
"1","2016-01-01",3211,596,36,3843
"2","2016-01-02",4007,1063,35,5105
"3","2016-01-03",4325,1041,8,5374
"4","2016-01-04",6154,796,41,6991
"5","2016-01-05",5844,908,55,6807
"6","2016-01-06",5738,939,69,6746
"7","2016-01-07",5627,1108,60,6795
"8","2016-01-08",5413,911,47,6371
"9","2016-01-09",3932,888,48,4868
"10","2016-01-10",4058,1028,21,5107
"11","2016-01-11",5973,997,61,7031
"12","2016-01-12",5533,897,70,6500
"13","2016-01-13",5596,839,87,6522
"14","2016-01-14",5284,848,95,6227
"15","2016-01-15",5130,924,86,6140
"16","2016-01-16",3753,897,46,4696
"17","2016-01-17",3930,895,16,4841
"18","2016-01-18",5888,805,50,6743
"19","2016-01-19",5663,725,95,6483
"20","2016-01-20",5070,687,75,5832
"21","2016-01-21",5201,1000,78,6279
"22","2016-01-22",5009,1501,83,6593
"23","2016-01-23",3766,1521,41,5328
"24","2016-01-24",3996,1307,13,5316
"25","2016-01-25",5696,1416,48,7160
"26","2016-01-26",5489,1226,78,6793
"27","2016-01-27",5264,1329,72,6665
"28","2016-01-28",5084,1259,161,6504
"29","2016-01-29",4999,1287,51,6337
"30","2016-01-30",3692,999,66,4757
"31","2016-01-31",4078,930,28,5036
"32","2016-02-01",5558,1009,61,6628
"33","2016-02-02",5150,1079,53,6282
"34","2016-02-03",5097,937,68,6102
"35","2016-02-04",4907,910,74,5891
"36","2016-02-05",4599,1021,42,5662
"37","2016-02-06",3273,809,46,4128
"38","2016-02-07",2959,819,23,3801
"39","2016-02-08",2270,803,19,3092
"40","2016-02-09",2693,962,37,3692
"41","2016-02-10",3834,1041,22,4897
"42","2016-02-11",5283,1082,43,6408
"43","2016-02-12",5113,1143,46,6302
"44","2016-02-13",3738,996,41,4775
"45","2016-02-14",3764,1021,8,4793
"46","2016-02-15",5330,995,61,6386
"47","2016-02-16",5115,1020,71,6206
"48","2016-02-17",4918,974,72,5964
"49","2016-02-18",5090,1043,108,6241
"50","2016-02-19",4736,988,55,5779
"51","2016-02-20",3709,967,109,4785
"52","2016-02-21",3762,968,18,4748
"53","2016-02-22",5349,1136,75,6560
"54","2016-02-23",5235,1156,43,6434
"55","2016-02-24",5076,1190,67,6333
"56","2016-02-25",4987,1221,82,6290
"57","2016-02-26",4583,1351,79,6013
"58","2016-02-27",3592,1120,68,4780
"59","2016-02-28",3842,1207,96,5145
"60","2016-02-29",5191,1126,101,6418
"61","2016-03-01",4271,963,29,5263
"62","2016-03-02",5069,890,68,6027
"63","2016-03-03",4986,1073,67,6126
"64","2016-03-04",4714,1146,28,5888
"65","2016-03-05",3467,1250,61,4778
"66","2016-03-06",3731,1039,5,4775
"67","2016-03-07",5441,1245,39,6725
"68","2016-03-08",5143,1139,41,6323
"69","2016-03-09",4889,984,157,6030
"70","2016-03-10",4774,986,69,5829
"71","2016-03-11",4511,887,42,5440
"72","2016-03-12",3380,841,43,4264
"73","2016-03-13",3734,867,13,4614
"74","2016-03-14",5229,931,42,6202
"75","2016-03-15",4916,968,37,5921
"76","2016-03-16",4873,1045,72,5990
"77","2016-03-17",4535,1097,49,5681
"78","2016-03-18",4609,973,39,5621
"79","2016-03-19",3550,940,33,4523
"80","2016-03-20",3881,954,18,4853
"81","2016-03-21",5353,1020,51,6424
"82","2016-03-22",4941,1024,38,6003
"83","2016-03-23",5046,621,56,5723
"84","2016-03-24",6409,1080,60,7549
"85","2016-03-25",6361,1039,38,7438
"86","2016-03-26",5009,989,44,6042
"87","2016-03-27",5381,1136,13,6530
"88","2016-03-28",7418,1194,50,8662
"89","2016-03-29",7070,1151,39,8260
"90","2016-03-30",6835,974,49,7858
"91","2016-03-31",6461,954,41,7456
"92","2016-04-01",6524,962,47,7533
"93","2016-04-02",4737,1122,96,5955
"94","2016-04-03",5344,1123,20,6487
"95","2016-04-04",7062,1210,56,8328
"96","2016-04-05",6600,1161,59,7820
"97","2016-04-06",6451,1108,49,7608
"98","2016-04-07",6444,1265,82,7791
"99","2016-04-08",6196,1020,56,7272
"100","2016-04-09",4684,1011,37,5732
"101","2016-04-10",5317,1020,26,6363
"102","2016-04-11",7174,1102,34,8310
"103","2016-04-12",6501,1091,48,7640
"104","2016-04-13",5929,907,36,6872
"105","2016-04-14",6869,1185,39,8093
"106","2016-04-15",6178,1096,57,7331
"107","2016-04-16",4909,1023,58,5990
"108","2016-04-17",5222,1208,23,6453
"109","2016-04-18",7125,1246,44,8415
"110","2016-04-19",6550,1201,50,7801
"111","2016-04-20",6430,955,58,7443
"112","2016-04-21",6441,1016,46,7503
"113","2016-04-22",6178,1116,44,7338
"114","2016-04-23",4747,1152,33,5932
"115","2016-04-24",5320,1112,23,6455
"116","2016-04-25",6910,1156,31,8097
"117","2016-04-26",6721,1021,42,7784
"118","2016-04-27",6685,939,72,7696
"119","2016-04-28",6477,944,71,7492
"120","2016-04-29",6058,904,55,7017
"121","2016-04-30",4620,897,39,5556
"122","2016-05-01",4994,992,26,6012
"123","2016-05-02",6938,960,69,7967
"124","2016-05-03",6663,999,37,7699
"125","2016-05-04",5991,1096,46,7133
"126","2016-05-05",5220,956,23,6199
"127","2016-05-06",5928,1132,30,7090
"128","2016-05-07",5033,1027,39,6099
"129","2016-05-08",5199,908,37,6144
"130","2016-05-09",7127,991,50,8168
"131","2016-05-10",6689,1044,43,7776
"132","2016-05-11",6658,1132,66,7856
"133","2016-05-12",6314,1204,61,7579
"134","2016-05-13",5895,1039,44,6978
"135","2016-05-14",4399,954,45,5398
"136","2016-05-15",4963,934,15,5912
"137","2016-05-16",6522,1048,34,7604
"138","2016-05-17",6158,1002,35,7195
"139","2016-05-18",6069,873,58,7000
"140","2016-05-19",5891,954,67,6912
"141","2016-05-20",5557,1083,40,6680
"142","2016-05-21",4051,1003,33,5087
"143","2016-05-22",4485,921,23,5429
"144","2016-05-23",6311,1074,43,7428
"145","2016-05-24",6295,895,48,7238
"146","2016-05-25",6152,1019,43,7214
"147","2016-05-26",5714,946,43,6703
"148","2016-05-27",5694,953,48,6695
"149","2016-05-28",4143,965,22,5130
"150","2016-05-29",4426,909,20,5355
"151","2016-05-30",6353,1186,57,7596
"152","2016-05-31",6100,1314,30,7444
"153","2016-06-01",5698,1387,42,7127
"154","2016-06-02",5564,1353,50,6967
"155","2016-06-03",5600,1313,31,6944
"156","2016-06-04",4109,1156,22,5287
"157","2016-06-05",4120,1028,8,5156
"158","2016-06-06",5371,1043,12,6426
"159","2016-06-07",6879,1086,42,8007
"160","2016-06-08",6409,1029,47,7485
"161","2016-06-09",6271,1031,48,7350
"162","2016-06-10",6035,575,69,6679
"163","2016-06-11",4535,838,50,5423
"164","2016-06-12",4717,992,18,5727
"165","2016-06-13",6649,1044,58,7751
"166","2016-06-14",6325,1048,34,7407
"167","2016-06-15",6381,1186,55,7622
"168","2016-06-16",6233,1055,55,7343
"169","2016-06-17",5838,1191,40,7069
"170","2016-06-18",4520,1053,37,5610
"171","2016-06-19",5031,1028,16,6075
"172","2016-06-20",6951,1054,45,8050
"173","2016-06-21",6256,1128,42,7426
"174","2016-06-22",6607,1207,42,7856
"175","2016-06-23",6209,1308,91,7608
"176","2016-06-24",6327,1017,45,7389
"177","2016-06-25",4626,1062,19,5707
"178","2016-06-26",5103,1020,10,6133
"179","2016-06-27",7171,1105,51,8327
"180","2016-06-28",6666,1096,70,7832
"181","2016-06-29",6435,1209,68,7712
"182","2016-06-30",6515,1398,69,7982
"183","2016-07-01",6269,1204,48,7521
"184","2016-07-02",4439,1368,29,5836
"185","2016-07-03",4888,1291,25,6204
"186","2016-07-04",6930,1228,35,8193
"187","2016-07-05",6551,1663,42,8256
"188","2016-07-06",6336,2163,45,8544
"189","2016-07-07",6568,2582,65,9215
"190","2016-07-08",6378,2540,52,8970
"191","2016-07-09",4797,2485,42,7324
"192","2016-07-10",5015,2041,11,7067
"193","2016-07-11",7141,1554,57,8752
"194","2016-07-12",6842,1256,57,8155
"195","2016-07-13",6738,1201,70,8009
"196","2016-07-14",6510,1203,103,7816
"197","2016-07-15",6289,1311,34,7634
"198","2016-07-16",4822,1278,24,6124
"199","2016-07-17",5204,1316,23,6543
"200","2016-07-18",7006,1343,46,8395
"201","2016-07-19",6925,1922,49,8896
"202","2016-07-20",7087,1892,56,9035
"203","2016-07-21",6706,1852,74,8632
"204","2016-07-22",6372,1470,56,7898
"205","2016-07-23",4830,1123,24,5977
"206","2016-07-24",5143,926,26,6095
"207","2016-07-25",7195,994,63,8252
"208","2016-07-26",6757,1194,77,8028
"209","2016-07-27",6856,1249,95,8200
"210","2016-07-28",6482,1685,83,8250
"211","2016-07-29",6725,1837,65,8627
"212","2016-07-30",5104,1371,45,6520
"213","2016-07-31",5126,823,39,5988
"214","2016-08-01",6727,1391,77,8195
"215","2016-08-02",6372,1196,55,7623
"216","2016-08-03",6603,1223,50,7876
"217","2016-08-04",6846,1912,39,8797
"218","2016-08-05",6541,1984,47,8572
"219","2016-08-06",4981,1433,23,6437
"220","2016-08-07",5125,1573,35,6733
"221","2016-08-08",6881,1399,44,8324
"222","2016-08-09",6718,1140,27,7885
"223","2016-08-10",6684,1260,52,7996
"224","2016-08-11",6358,1336,55,7749
"225","2016-08-12",5996,1350,36,7382
"226","2016-08-13",4749,1962,38,6749
"227","2016-08-14",4596,1792,13,6401
"228","2016-08-15",5455,1532,22,7009
"229","2016-08-16",7018,1690,50,8758
"230","2016-08-17",6566,1762,68,8396
"231","2016-08-18",6205,2011,59,8275
"232","2016-08-19",6131,2191,47,8369
"233","2016-08-20",4605,2201,29,6835
"234","2016-08-21",4946,2108,24,7078
"235","2016-08-22",6900,1775,57,8732
"236","2016-08-23",6485,2004,42,8531
"237","2016-08-24",6331,2031,54,8416
"238","2016-08-25",6444,2145,59,8648
"239","2016-08-26",5970,1898,45,7913
"240","2016-08-27",4283,1777,16,6076
"241","2016-08-28",4708,1987,23,6718
"242","2016-08-29",6500,1864,53,8417
"243","2016-08-30",6406,2906,44,9356
"244","2016-08-31",6006,2808,56,8870
"245","2016-09-01",5815,2807,26,8648
"246","2016-09-02",5755,2728,44,8527
"247","2016-09-03",4352,2412,22,6786
"248","2016-09-04",4794,2171,12,6977
"249","2016-09-05",6439,2131,82,8652
"250","2016-09-06",5900,2078,31,8009
"251","2016-09-07",6083,1161,53,7297
"252","2016-09-08",5602,1116,45,6763
"253","2016-09-09",5225,1227,57,6509
"254","2016-09-10",4174,1399,23,5596
"255","2016-09-11",4486,1642,15,6143
"256","2016-09-12",5809,1777,63,7649
"257","2016-09-13",4972,1426,54,6452
"258","2016-09-14",3537,1009,30,4576
"259","2016-09-15",2827,974,5,3806
"260","2016-09-16",3274,1119,41,4434
"261","2016-09-17",4010,1147,25,5182
"262","2016-09-18",4464,1457,11,5932
"263","2016-09-19",5919,1117,70,7106
"264","2016-09-20",5608,1198,30,6836
"265","2016-09-21",5752,1194,69,7015
"266","2016-09-22",5465,1205,72,6742
"267","2016-09-23",5407,1186,42,6635
"268","2016-09-24",4075,1169,18,5262
"269","2016-09-25",4438,1181,14,5633
"270","2016-09-26",5995,1303,68,7366
"271","2016-09-27",5747,1261,59,7067
"272","2016-09-28",5588,1173,91,6852
"273","2016-09-29",5455,1179,56,6690
"274","2016-09-30",5355,1145,55,6555
"275","2016-10-01",4058,1227,31,5316
"276","2016-10-02",4296,1218,21,5535
"277","2016-10-03",4968,1232,24,6224
"278","2016-10-04",6081,1134,66,7281
"279","2016-10-05",5817,1278,52,7147
"280","2016-10-06",5549,1402,43,6994
"281","2016-10-07",5333,1315,62,6710
"282","2016-10-08",4147,1190,21,5358
"283","2016-10-09",4241,1104,13,5358
"284","2016-10-10",5845,1146,54,7045
"285","2016-10-11",5332,1309,73,6714
"286","2016-10-12",5427,1281,62,6770
"287","2016-10-13",5438,1266,49,6753
"288","2016-10-14",5230,1287,61,6578
"289","2016-10-15",3912,1146,21,5079
"290","2016-10-16",4305,1020,23,5348
"291","2016-10-17",5760,1092,52,6904
"292","2016-10-18",5670,1124,34,6828
"293","2016-10-19",5540,1221,59,6820
"294","2016-10-20",5447,1209,58,6714
"295","2016-10-21",5229,1317,58,6604
"296","2016-10-22",3962,1228,38,5228
"297","2016-10-23",4391,1182,23,5596
"298","2016-10-24",5735,1136,46,6917
"299","2016-10-25",5511,1074,44,6629
"300","2016-10-26",5586,1130,66,6782
"301","2016-10-27",5503,1125,53,6681
"302","2016-10-28",5145,1037,48,6230
"303","2016-10-29",3880,994,21,4895
"304","2016-10-30",4169,983,10,5162
"305","2016-10-31",5792,1069,36,6897
"306","2016-11-01",5353,1204,72,6629
"307","2016-11-02",5467,1135,45,6647
"308","2016-11-03",5442,1085,43,6570
"309","2016-11-04",5097,1054,47,6198
"310","2016-11-05",3883,1084,25,4992
"311","2016-11-06",4233,942,11,5186
"312","2016-11-07",5960,1054,60,7074
"313","2016-11-08",5744,1047,38,6829
"314","2016-11-09",5545,775,30,6350
"315","2016-11-10",5379,1199,53,6631
"316","2016-11-11",4903,1380,76,6359
"317","2016-11-12",3813,1175,12,5000
"318","2016-11-13",4069,1177,8,5254
"319","2016-11-14",5969,1011,29,7009
"320","2016-11-15",5786,1093,27,6906
"321","2016-11-16",5626,1002,43,6671
"322","2016-11-17",5480,1025,55,6560
"323","2016-11-18",5521,1183,37,6741
"324","2016-11-19",3968,1034,19,5021
"325","2016-11-20",4111,1048,20,5179
"326","2016-11-21",5955,1136,42,7133
"327","2016-11-22",5798,1011,45,6854
"328","2016-11-23",5503,978,62,6543
"329","2016-11-24",5418,975,34,6427
"330","2016-11-25",5154,1070,34,6258
"331","2016-11-26",3994,940,7,4941
"332","2016-11-27",4342,988,8,5338
"333","2016-11-28",6166,1109,43,7318
"334","2016-11-29",5761,1211,31,7003
"335","2016-11-30",5666,1233,71,6970
"336","2016-12-01",5677,1070,41,6788
"337","2016-12-02",5419,1198,25,6642
"338","2016-12-03",4029,804,22,4855
"339","2016-12-04",4205,849,27,5081
"340","2016-12-05",5744,952,54,6750
"341","2016-12-06",5538,986,35,6559
"342","2016-12-07",5568,944,37,6549
"343","2016-12-08",5324,1135,51,6510
"344","2016-12-09",5140,836,29,6005
"345","2016-12-10",3811,857,14,4682
"346","2016-12-11",4181,915,7,5103
"347","2016-12-12",5673,1048,51,6772
"348","2016-12-13",5604,1078,53,6735
"349","2016-12-14",5453,1093,56,6602
"350","2016-12-15",5248,1097,39,6384
"351","2016-12-16",5058,1094,26,6178
"352","2016-12-17",3941,1133,26,5100
"353","2016-12-18",3926,1132,17,5075
"354","2016-12-19",6001,1157,29,7187
"355","2016-12-20",5779,1165,53,6997
"356","2016-12-21",5501,1068,54,6623
"357","2016-12-22",5420,1113,64,6597
"358","2016-12-23",5360,1080,39,6479
"359","2016-12-24",3416,1016,23,4455
"360","2016-12-25",3499,929,26,4454
"361","2016-12-26",6153,1005,39,7197
"362","2016-12-27",6206,1192,48,7446
"363","2016-12-28",5972,1231,47,7250
"364","2016-12-29",5874,1097,69,7040
"365","2016-12-30",5527,1006,24,6557
"366","2016-12-31",4303,1024,18,5345
"367","2017-01-01",3947,925,9,4881
"368","2017-01-02",6223,1032,2,7257
"369","2017-01-03",6350,1173,15,7538
"370","2017-01-04",6130,1302,63,7495
"371","2017-01-05",6013,1382,54,7449
"372","2017-01-06",5843,1373,47,7263
"373","2017-01-07",4422,1159,25,5606
"374","2017-01-08",4667,1117,10,5794
"375","2017-01-09",6609,1240,49,7898
"376","2017-01-10",6639,1125,36,7800
"377","2017-01-11",6534,1226,66,7826
"378","2017-01-12",6838,1255,50,8143
"379","2017-01-13",6431,1203,26,7660
"380","2017-01-14",4732,978,7,5717
"381","2017-01-15",4920,1200,8,6128
"382","2017-01-16",6766,1073,76,7915
"383","2017-01-17",6591,1303,48,7942
"384","2017-01-18",6389,1223,62,7674
"385","2017-01-19",6353,1125,45,7523
"386","2017-01-20",6136,1125,53,7314
"387","2017-01-21",4710,1056,14,5780
"388","2017-01-22",5044,1301,11,6356
"389","2017-01-23",6823,1554,33,8410
"390","2017-01-24",6114,1198,38,7350
"391","2017-01-25",5687,2098,44,7829
"392","2017-01-26",4499,2505,54,7058
"393","2017-01-27",3300,1245,22,4567
"394","2017-01-28",2550,1034,31,3615
"395","2017-01-29",3053,1000,10,4063
"396","2017-01-30",4183,1187,27,5397
"397","2017-01-31",6132,1204,41,7377
"398","2017-02-01",5951,1202,67,7220
"399","2017-02-02",5885,1199,68,7152
"400","2017-02-03",5648,1326,44,7018
"401","2017-02-04",4534,1368,6,5908
"402","2017-02-05",5384,1210,20,6614
"403","2017-02-06",6665,1238,37,7940
"404","2017-02-07",6615,1139,39,7793
"405","2017-02-08",6595,988,38,7621
"406","2017-02-09",6598,960,62,7620
"407","2017-02-10",6538,1316,50,7904
"408","2017-02-11",5139,1208,20,6367
"409","2017-02-12",5689,1177,12,6878
"410","2017-02-13",7107,1107,53,8267
"411","2017-02-14",6553,1161,30,7744
"412","2017-02-15",7328,1018,82,8428
"413","2017-02-16",7056,1183,66,8305
"414","2017-02-17",6518,1244,31,7793
"415","2017-02-18",4910,1230,22,6162
"416","2017-02-19",5345,1140,21,6506
"417","2017-02-20",7281,1246,29,8556
"418","2017-02-21",7138,1376,34,8548
"419","2017-02-22",6954,1221,47,8222
"420","2017-02-23",7056,1155,44,8255
"421","2017-02-24",6640,1145,37,7822
"422","2017-02-25",5422,1227,15,6664
"423","2017-02-26",5347,1150,9,6506
"424","2017-02-27",7259,1277,72,8608
"425","2017-02-28",6309,1248,50,7607
"426","2017-03-01",6020,1209,29,7258
"427","2017-03-02",6158,1308,55,7521
"428","2017-03-03",6366,1310,67,7743
"429","2017-03-04",5087,1428,33,6548
"430","2017-03-05",5301,1660,34,6995
"431","2017-03-06",7100,1697,65,8862
"432","2017-03-07",6527,1308,35,7870
"433","2017-03-08",6195,1392,68,7655
"434","2017-03-09",6822,1376,72,8270
"435","2017-03-10",5821,771,41,6633
"436","2017-03-11",4445,1107,8,5560
"437","2017-03-12",5190,1099,10,6299
"438","2017-03-13",6904,1180,60,8144
"439","2017-03-14",6420,1215,79,7714
"440","2017-03-15",6468,1219,68,7755
"441","2017-03-16",6226,1129,69,7424
"442","2017-03-17",6038,1231,43,7312
"443","2017-03-18",4536,1181,20,5737
"444","2017-03-19",5341,1021,22,6384
"445","2017-03-20",7216,1102,84,8402
"446","2017-03-21",7321,1132,52,8505
"447","2017-03-22",7132,1347,77,8556
"448","2017-03-23",6501,1276,80,7857
"449","2017-03-24",6562,1426,46,8034
"450","2017-03-25",4637,1092,22,5751
"451","2017-03-26",5024,1363,17,6404
"452","2017-03-27",7228,1209,51,8488
"453","2017-03-28",6602,1127,41,7770
"454","2017-03-29",7323,1186,88,8597
"455","2017-03-30",6540,1160,62,7762
"456","2017-03-31",6240,1038,75,7353
"457","2017-04-01",4413,1077,15,5505
"458","2017-04-02",5002,1214,50,6266
"459","2017-04-03",6837,1285,59,8181
"460","2017-04-04",6721,1198,40,7959
"461","2017-04-05",6406,1323,113,7842
"462","2017-04-06",6569,1132,68,7769
"463","2017-04-07",6075,1225,38,7338
"464","2017-04-08",4265,1050,22,5337
"465","2017-04-09",4587,1057,108,5752
"466","2017-04-10",7694,1292,63,9049
"467","2017-04-11",6631,1111,55,7797
"468","2017-04-12",6058,1271,60,7389
"469","2017-04-13",5956,1201,89,7246
"470","2017-04-14",5901,1300,42,7243
"471","2017-04-15",4289,1089,18,5396
"472","2017-04-16",4297,986,19,5302
"473","2017-04-17",6312,1100,56,7468
"474","2017-04-18",6348,1202,57,7607
"475","2017-04-19",5864,1155,82,7101
"476","2017-04-20",5743,1092,96,6931
"477","2017-04-21",5742,1292,46,7080
"478","2017-04-22",4218,1122,22,5362
"479","2017-04-23",4578,990,27,5595
"480","2017-04-24",6737,1361,75,8173
"481","2017-04-25",6261,1327,47,7635
"482","2017-04-26",6169,1163,89,7421
"483","2017-04-27",6087,1345,70,7502
"484","2017-04-28",5944,1450,49,7443
"485","2017-04-29",4403,1374,19,5796
"486","2017-04-30",4569,1214,9,5792
"487","2017-05-01",5906,1217,58,7181
"488","2017-05-02",5726,1337,44,7107
"489","2017-05-03",5405,1265,26,6696
"490","2017-05-04",5878,1354,48,7280
"491","2017-05-05",4690,1634,29,6353
"492","2017-05-06",4797,994,29,5820
"493","2017-05-07",5009,996,7,6012
"494","2017-05-08",6324,1081,46,7451
"495","2017-05-09",5669,956,14,6639
"496","2017-05-10",6164,980,34,7178
"497","2017-05-11",5904,1204,61,7169
"498","2017-05-12",5771,1154,49,6974
"499","2017-05-13",4376,992,23,5391
"500","2017-05-14",4543,1021,19,5583
"501","2017-05-15",6318,1098,37,7453
"502","2017-05-16",6031,1229,28,7288
"503","2017-05-17",5608,1241,63,6912
"504","2017-05-18",5424,1118,43,6585
"505","2017-05-19",5223,1097,34,6354
"506","2017-05-20",3957,1164,20,5141
"507","2017-05-21",4266,979,19,5264
"508","2017-05-22",5919,1107,45,7071
"509","2017-05-23",5708,1131,70,6909
"510","2017-05-24",5574,1128,141,6843
"511","2017-05-25",5542,1047,65,6654
"512","2017-05-26",5114,1037,36,6187
"513","2017-05-27",3986,799,22,4807
"514","2017-05-28",4483,938,38,5459
"515","2017-05-29",5980,1024,42,7046
"516","2017-05-30",5766,1864,57,7687
"517","2017-05-31",5705,1134,39,6878
"518","2017-06-01",5400,1213,64,6677
"519","2017-06-02",5212,1190,47,6449
"520","2017-06-03",3834,1030,41,4905
"521","2017-06-04",4124,1098,19,5241
"522","2017-06-05",5671,1169,40,6880
"523","2017-06-06",5197,1288,29,6514
"524","2017-06-07",6024,1380,88,7492
"525","2017-06-08",5918,1204,54,7176
"526","2017-06-09",5549,1178,42,6769
"527","2017-06-10",4142,1089,14,5245
"528","2017-06-11",4629,1454,16,6099
"529","2017-06-12",6117,1226,44,7387
"530","2017-06-13",5913,1338,28,7279
"531","2017-06-14",5673,1215,58,6946
"532","2017-06-15",5676,1053,72,6801
"533","2017-06-16",5507,1372,52,6931
"534","2017-06-17",4055,878,19,4952
"535","2017-06-18",4468,1131,22,5621
"536","2017-06-19",6050,1416,50,7516
"537","2017-06-20",6118,1216,51,7385
"538","2017-06-21",5680,1165,56,6901
"539","2017-06-22",5861,1206,67,7134
"540","2017-06-23",5560,1166,35,6761
"541","2017-06-24",4149,1182,12,5343
"542","2017-06-25",4405,1162,16,5583
"543","2017-06-26",6428,1595,45,8068
"544","2017-06-27",5989,1445,38,7472
"545","2017-06-28",5916,1243,58,7217
"546","2017-06-29",5852,1175,73,7100
"547","2017-06-30",5572,1333,59,6964
"548","2017-07-01",4370,1105,22,5497
"549","2017-07-02",4788,993,9,5790
"550","2017-07-03",6088,1229,58,7375
"551","2017-07-04",5995,1192,106,7293
"552","2017-07-05",6039,1245,68,7352
"553","2017-07-06",5774,1321,88,7183
"554","2017-07-07",5687,1190,51,6928
"555","2017-07-08",4197,1045,20,5262
"556","2017-07-09",4654,1129,16,5799
"557","2017-07-10",6333,1328,95,7756
"558","2017-07-11",6222,1328,67,7617
"559","2017-07-12",6273,1590,81,7944
"560","2017-07-13",5913,1298,99,7310
"561","2017-07-14",5651,1371,49,7071
"562","2017-07-15",4245,1146,22,5413
"563","2017-07-16",4663,1142,22,5827
"564","2017-07-17",6376,1550,56,7982
"565","2017-07-18",6185,1256,96,7537
"566","2017-07-19",6253,1332,98,7683
"567","2017-07-20",6211,1362,105,7678
"568","2017-07-21",5956,1242,48,7246
"569","2017-07-22",4478,1233,14,5725
"570","2017-07-23",4616,1327,17,5960
"571","2017-07-24",6578,1314,86,7978
"572","2017-07-25",6199,1446,95,7740
"573","2017-07-26",6162,1311,76,7549
"574","2017-07-27",6050,1299,94,7443
"575","2017-07-28",5779,1257,58,7094
"576","2017-07-29",4633,1472,20,6125
"577","2017-07-30",4714,1200,31,5945
"578","2017-07-31",6536,1333,78,7947
"579","2017-08-01",6026,1747,56,7829
"580","2017-08-02",6036,1725,64,7825
"581","2017-08-03",6081,1559,122,7762
"582","2017-08-04",5834,1398,67,7299
"583","2017-08-05",4645,1263,18,5926
"584","2017-08-06",4764,1162,17,5943
"585","2017-08-07",6384,1247,82,7713
"586","2017-08-08",6028,1376,56,7460
"587","2017-08-09",6224,1265,65,7554
"588","2017-08-10",6075,1196,66,7337
"589","2017-08-11",5860,1151,58,7069
"590","2017-08-12",4364,1034,20,5418
"591","2017-08-13",4436,1069,13,5518
"592","2017-08-14",6353,1276,52,7681
"593","2017-08-15",5542,1066,20,6628
"594","2017-08-16",6669,1122,36,7827
"595","2017-08-17",6410,1087,111,7608
"596","2017-08-18",5833,1206,56,7095
"597","2017-08-19",5713,2268,21,8002
"598","2017-08-20",5080,1179,15,6274
"599","2017-08-21",6647,1348,67,8062
"600","2017-08-22",6246,1245,57,7548
"601","2017-08-23",6207,1480,53,7740
"602","2017-08-24",6161,1338,93,7592
"603","2017-08-25",5613,1262,45,6920
"604","2017-08-26",4151,1119,17,5287
"605","2017-08-27",4599,1088,16,5703
"606","2017-08-28",6267,1302,60,7629
"607","2017-08-29",5893,1223,78,7194
"608","2017-08-30",5763,1104,83,6950
"609","2017-08-31",5881,1087,66,7034
"610","2017-09-01",5301,1198,45,6544
