"","social_br.date","social_br.blog","social_br.twitter","social_br.news","social_br.total"
"611","2017-09-02",3538,1085,17,4640
"612","2017-09-03",4046,1092,12,5150
"613","2017-09-04",6082,1115,63,7260
"614","2017-09-05",6008,1131,38,7177
"615","2017-09-06",6029,1153,55,7237
"616","2017-09-07",5750,1038,86,6874
"617","2017-09-08",5494,1154,31,6679
"618","2017-09-09",4078,829,23,4930
"619","2017-09-10",4493,1101,19,5613
"620","2017-09-11",5961,1118,58,7137
"621","2017-09-12",5825,1111,45,6981
"622","2017-09-13",5763,1154,58,6975
"623","2017-09-14",5627,1049,57,6733
"624","2017-09-15",5357,1275,48,6680
"625","2017-09-16",4075,1013,26,5114
"626","2017-09-17",4728,1171,59,5958
"627","2017-09-18",5994,1256,60,7310
"628","2017-09-19",5930,1139,45,7114
"629","2017-09-20",5687,1035,80,6802
"630","2017-09-21",5458,1063,68,6589
"631","2017-09-22",5145,1161,71,6377
"632","2017-09-23",3852,1125,31,5008
"633","2017-09-24",4324,1065,23,5412
"634","2017-09-25",5601,1078,81,6760
"635","2017-09-26",5586,1042,56,6684
"636","2017-09-27",5163,1290,85,6538
"637","2017-09-28",4962,1106,73,6141
"638","2017-09-29",4830,1138,101,6069
"639","2017-09-30",3818,1094,25,4937
"640","2017-10-01",3879,982,32,4893
"641","2017-10-02",4581,1140,62,5783
"642","2017-10-03",3739,1048,59,4846
"643","2017-10-04",2746,971,26,3743
"644","2017-10-05",3311,1099,36,4446
"645","2017-10-06",4188,1200,39,5427
"646","2017-10-07",4486,1186,24,5696
"647","2017-10-08",4411,1151,31,5593
"648","2017-10-09",5081,1092,39,6212
"649","2017-10-10",5843,1144,44,7031
"650","2017-10-11",5613,1033,56,6702
"651","2017-10-12",5638,1053,62,6753
"652","2017-10-13",5232,1239,40,6511
"653","2017-10-14",3796,1061,26,4883
"654","2017-10-15",4183,1166,18,5367
"655","2017-10-16",5654,1175,69,6898
"656","2017-10-17",5486,1042,26,6554
"657","2017-10-18",5336,1143,57,6536
"658","2017-10-19",5188,1111,129,6428
"659","2017-10-20",4848,1195,41,6084
"660","2017-10-21",3632,1121,23,4776
"661","2017-10-22",4044,992,39,5075
"662","2017-10-23",5779,1045,82,6906
"663","2017-10-24",5554,1067,56,6677
"664","2017-10-25",5197,1061,81,6339
"665","2017-10-26",5640,899,54,6593
"666","2017-10-27",5050,1067,48,6165
"667","2017-10-28",4016,985,18,5019
"668","2017-10-29",4269,1016,28,5313
"669","2017-10-30",5636,985,46,6667
"670","2017-10-31",5247,1103,50,6400
"671","2017-11-01",5332,1130,55,6517
"672","2017-11-02",5539,1183,75,6797
"673","2017-11-03",5199,1086,59,6344
"674","2017-11-04",4069,940,15,5024
"675","2017-11-05",4278,979,28,5285
"676","2017-11-06",5852,1156,42,7050
"677","2017-11-07",5704,1215,55,6974
"678","2017-11-08",5683,1057,80,6820
"679","2017-11-09",5199,1119,63,6381
"680","2017-11-10",5387,1132,67,6586
"681","2017-11-11",3905,963,14,4882
"682","2017-11-12",4432,1020,35,5487
"683","2017-11-13",6121,1022,53,7196
"684","2017-11-14",5704,1142,63,6909
"685","2017-11-15",5323,875,67,6265
"686","2017-11-16",5283,1006,49,6338
"687","2017-11-17",5238,967,49,6254
"688","2017-11-18",4100,977,14,5091
"689","2017-11-19",4247,871,33,5151
"690","2017-11-20",6088,1081,83,7252
"691","2017-11-21",5521,978,55,6554
"692","2017-11-22",5379,1007,71,6457
"693","2017-11-23",5208,1095,89,6392
"694","2017-11-24",4957,1082,37,6076
"695","2017-11-25",3760,1053,31,4844
"696","2017-11-26",4097,960,50,5107
"697","2017-11-27",5580,1257,47,6884
"698","2017-11-28",5470,993,30,6493
"699","2017-11-29",5334,1130,58,6522
"700","2017-11-30",5225,711,53,5989
"701","2017-12-01",5047,880,32,5959
"702","2017-12-02",3894,794,23,4711
"703","2017-12-03",4202,965,23,5190
"704","2017-12-04",5667,1114,60,6841
"705","2017-12-05",5322,1204,43,6569
"706","2017-12-06",5323,1036,60,6419
"707","2017-12-07",5199,1170,81,6450
"708","2017-12-08",4945,1126,66,6137
"709","2017-12-09",3886,971,28,4885
"710","2017-12-10",4336,1165,29,5530
"711","2017-12-11",5572,1148,73,6793
"712","2017-12-12",5134,1008,52,6194
"713","2017-12-13",5337,1033,69,6439
"714","2017-12-14",5296,1062,64,6422
"715","2017-12-15",5206,973,56,6235
"716","2017-12-16",3958,993,14,4965
"717","2017-12-17",4048,1108,18,5174
"718","2017-12-18",5521,985,54,6560
"719","2017-12-19",5213,983,76,6272
"720","2017-12-20",5146,1123,100,6369
"721","2017-12-21",5055,730,87,5872
"722","2017-12-22",4850,1163,55,6068
"723","2017-12-23",3909,1102,15,5026
"724","2017-12-24",3852,925,13,4790
"725","2017-12-25",4094,838,29,4961
"726","2017-12-26",6024,1109,51,7184
"727","2017-12-27",5941,1206,55,7202
"728","2017-12-28",5459,1201,76,6736
"729","2017-12-29",4994,1191,46,6231
"730","2017-12-30",4257,949,18,5224
"731","2017-12-31",4041,979,17,5037
"732","2018-01-01",4025,818,34,4877
"733","2018-01-02",5670,1002,38,6710
"734","2018-01-03",6031,1149,99,7279
"735","2018-01-04",5669,1165,63,6897
"736","2018-01-05",5417,1178,68,6663
"737","2018-01-06",4382,1305,36,5723
"738","2018-01-07",4755,1159,28,5942
"739","2018-01-08",6308,1268,30,7606
"740","2018-01-09",6274,945,35,7254
"741","2018-01-10",5775,1040,40,6855
"742","2018-01-11",5685,873,68,6626
"743","2018-01-12",5397,1078,55,6530
"744","2018-01-13",4491,930,24,5445
"745","2018-01-14",4917,1027,17,5961
"746","2018-01-15",6308,902,56,7266
"747","2018-01-16",5215,981,46,6242
"748","2018-01-17",6179,1071,88,7338
"749","2018-01-18",6120,1114,96,7330
"750","2018-01-19",5826,1183,45,7054
"751","2018-01-20",4845,1682,27,6554
"752","2018-01-21",4930,1196,31,6157
"753","2018-01-22",6295,1132,99,7526
"754","2018-01-23",6258,990,39,7287
"755","2018-01-24",5912,1081,45,7038
"756","2018-01-25",5900,1037,72,7009
"757","2018-01-26",5611,940,63,6614
"758","2018-01-27",4565,1034,18,5617
"759","2018-01-28",4954,1047,46,6047
"760","2018-01-29",6508,1050,64,7622
"761","2018-01-30",6463,1109,59,7631
"762","2018-01-31",5785,1144,65,6994
"763","2018-02-01",5622,989,88,6699
"764","2018-02-02",5763,1024,103,6890
"765","2018-02-03",4783,934,37,5754
"766","2018-02-04",5029,994,39,6062
"767","2018-02-05",6236,1009,73,7318
"768","2018-02-06",3559,1041,48,4648
"769","2018-02-07",3871,958,40,4869
"770","2018-02-08",6087,987,62,7136
"771","2018-02-09",5508,918,36,6462
"772","2018-02-10",4670,812,11,5493
"773","2018-02-11",5057,892,22,5971
"774","2018-02-12",6252,986,59,7297
"775","2018-02-13",5889,932,68,6889
"776","2018-02-14",5442,862,53,6357
"777","2018-02-15",4204,752,22,4978
"778","2018-02-16",3110,646,33,3789
"779","2018-02-17",3385,762,11,4158
"780","2018-02-18",4131,766,26,4923
"781","2018-02-19",5865,829,51,6745
"782","2018-02-20",5765,988,30,6783
"783","2018-02-21",5610,742,24,6376
"784","2018-02-22",5592,811,48,6451
"785","2018-02-23",5534,895,28,6457
"786","2018-02-24",4506,759,9,5274
"787","2018-02-25",4560,605,12,5177
"788","2018-02-26",6106,1000,64,7170
"789","2018-02-27",5797,1069,45,6911
"790","2018-02-28",5749,956,46,6751
"791","2018-03-01",5082,911,31,6024
"792","2018-03-02",5654,1101,56,6811
"793","2018-03-03",4659,1051,21,5731
"794","2018-03-04",5136,1116,22,6274
"795","2018-03-05",6022,1238,67,7327
"796","2018-03-06",5275,1236,82,6593
"797","2018-03-07",5523,1023,45,6591
"798","2018-03-08",5574,904,63,6541
"799","2018-03-09",5248,919,49,6216
"800","2018-03-10",4235,901,15,5151
"801","2018-03-11",4967,1074,34,6075
"802","2018-03-12",6090,1406,46,7542
"803","2018-03-13",5739,1105,58,6902
"804","2018-03-14",5626,1254,61,6941
"805","2018-03-15",5520,1034,97,6651
"806","2018-03-16",5490,1298,63,6851
"807","2018-03-17",4464,1166,15,5645
"808","2018-03-18",5043,1007,13,6063
"809","2018-03-19",6449,1250,53,7752
"810","2018-03-20",6519,1084,36,7639
"811","2018-03-21",6867,1048,62,7977
"812","2018-03-22",6636,1132,56,7824
"813","2018-03-23",6024,1097,63,7184
"814","2018-03-24",4791,1226,16,6033
"815","2018-03-25",5265,1167,23,6455
"816","2018-03-26",6602,1185,57,7844
"817","2018-03-27",5823,958,48,6829
"818","2018-03-28",5811,1035,81,6927
"819","2018-03-29",5929,1214,55,7198
"820","2018-03-30",5877,1026,41,6944
"821","2018-03-31",4616,1151,52,5819
"822","2018-04-01",4893,966,27,5886
"823","2018-04-02",6124,1570,66,7760
"824","2018-04-03",5960,1418,69,7447
"825","2018-04-04",6074,1106,98,7278
"826","2018-04-05",6130,938,94,7162
"827","2018-04-06",5834,790,81,6705
"828","2018-04-07",4549,1010,41,5600
"829","2018-04-08",5016,891,56,5963
"830","2018-04-09",6414,1136,58,7608
"831","2018-04-10",6167,1056,69,7292
"832","2018-04-11",6243,757,78,7078
"833","2018-04-12",6194,875,69,7138
"834","2018-04-13",5969,803,95,6867
"835","2018-04-14",4914,687,31,5632
"836","2018-04-15",5153,893,40,6086
"837","2018-04-16",6465,1111,88,7664
"838","2018-04-17",6268,1698,84,8050
"839","2018-04-18",6289,1377,57,7723
"840","2018-04-19",6222,1486,65,7773
"841","2018-04-20",5893,1437,165,7495
"842","2018-04-21",4678,966,23,5667
"843","2018-04-22",5098,1058,51,6207
"844","2018-04-23",6653,1234,88,7975
"845","2018-04-24",6254,1032,96,7382
"846","2018-04-25",6179,1256,109,7544
"847","2018-04-26",6051,1262,68,7381
"848","2018-04-27",6023,1137,63,7223
"849","2018-04-28",4741,1097,23,5861
"850","2018-04-29",5380,1022,48,6450
"851","2018-04-30",6666,1104,62,7832
"852","2018-05-01",6261,1016,47,7324
"853","2018-05-02",6645,1027,54,7726
"854","2018-05-03",6539,941,90,7570
"855","2018-05-04",6468,1000,51,7519
"856","2018-05-05",5151,1053,40,6244
"857","2018-05-06",5723,761,40,6524
"858","2018-05-07",6479,793,65,7337
"859","2018-05-08",7045,1030,110,8185
"860","2018-05-09",6843,641,72,7556
"861","2018-05-10",6706,971,64,7741
"862","2018-05-11",6306,1137,58,7501
"863","2018-05-12",5134,601,22,5757
"864","2018-05-13",5367,607,27,6001
"865","2018-05-14",6849,776,93,7718
"866","2018-05-15",6635,989,73,7697
"867","2018-05-16",6677,947,87,7711
"868","2018-05-17",6493,957,83,7533
"869","2018-05-18",6235,944,60,7239
"870","2018-05-19",4959,756,16,5731
"871","2018-05-20",5475,659,15,6149
"872","2018-05-21",6989,901,119,8009
"873","2018-05-22",6534,702,49,7285
"874","2018-05-23",7387,802,72,8261
"875","2018-05-24",7053,957,168,8178
"876","2018-05-25",6504,1017,63,7584
"877","2018-05-26",5093,836,43,5972
"878","2018-05-27",5470,769,19,6258
"879","2018-05-28",6952,905,98,7955
"880","2018-05-29",6821,1062,94,7977
"881","2018-05-30",6548,1138,57,7743
"882","2018-05-31",6400,764,56,7220
"883","2018-06-01",6106,914,67,7087
"884","2018-06-02",5016,498,27,5541
"885","2018-06-03",5386,508,17,5911
"886","2018-06-04",6695,1142,101,7938
"887","2018-06-05",6276,977,69,7322
"888","2018-06-06",5722,842,28,6592
"889","2018-06-07",6753,999,108,7860
"890","2018-06-08",6461,757,93,7311
"891","2018-06-09",5166,615,40,5821
"892","2018-06-10",5550,823,32,6405
"893","2018-06-11",7116,760,93,7969
"894","2018-06-12",6623,666,75,7364
"895","2018-06-13",6047,395,30,6472
"896","2018-06-14",7056,836,77,7969
"897","2018-06-15",6659,936,76,7671
"898","2018-06-16",5171,817,29,6017
"899","2018-06-17",5429,816,24,6269
"900","2018-06-18",6753,1013,90,7856
"901","2018-06-19",6534,914,40,7488
"902","2018-06-20",6581,728,56,7365
"903","2018-06-21",6630,979,72,7681
"904","2018-06-22",6063,852,100,7015
"905","2018-06-23",5106,657,32,5795
"906","2018-06-24",5132,721,16,5869
"907","2018-06-25",7189,835,56,8080
"908","2018-06-26",6962,988,61,8011
"909","2018-06-27",6482,1046,67,7595
"910","2018-06-28",6022,756,42,6820
"911","2018-06-29",6148,1022,74,7244
"912","2018-06-30",5225,678,36,5939
"913","2018-07-01",5563,873,26,6462
"914","2018-07-02",6964,967,98,8029
"915","2018-07-03",6470,1008,76,7554
"916","2018-07-04",6745,1065,102,7912
"917","2018-07-05",6442,1024,85,7551
"918","2018-07-06",3206,1058,75,4339
"919","2018-07-07",3761,906,32,4699
"920","2018-07-08",5604,893,41,6538
"921","2018-07-09",7441,884,80,8405
"922","2018-07-10",7102,1099,80,8281
"923","2018-07-11",6813,1001,86,7900
"924","2018-07-12",6847,973,126,7946
"925","2018-07-13",6775,905,115,7795
"926","2018-07-14",5365,515,44,5924
"927","2018-07-15",5874,585,53,6512
"928","2018-07-16",7295,973,126,8394
"929","2018-07-17",7307,906,65,8278
"930","2018-07-18",7105,1155,124,8384
"931","2018-07-19",6987,1114,86,8187
"932","2018-07-20",7253,1245,65,8563
"933","2018-07-21",6932,1209,50,8191
"934","2018-07-22",6897,1135,27,8059
"935","2018-07-23",8211,1133,61,9405
"936","2018-07-24",7990,918,84,8992
"937","2018-07-25",8019,1192,98,9309
"938","2018-07-26",8325,1108,110,9543
"939","2018-07-27",7768,953,79,8800
"940","2018-07-28",5250,916,34,6200
"941","2018-07-29",5424,880,23,6327
"942","2018-07-30",7060,924,67,8051
"943","2018-07-31",6841,838,63,7742
"944","2018-08-01",6809,643,123,7575
"945","2018-08-02",6562,803,73,7438
"946","2018-08-03",6281,872,73,7226
"947","2018-08-04",5035,717,52,5804
"948","2018-08-05",5333,784,19,6136
"949","2018-08-06",6929,831,43,7803
"950","2018-08-07",7210,640,86,7936
"951","2018-08-08",7000,602,96,7698
"952","2018-08-09",6923,864,89,7876
"953","2018-08-10",6802,632,82,7516
"954","2018-08-11",5481,763,34,6278
"955","2018-08-12",5689,734,71,6494
"956","2018-08-13",7321,843,102,8266
"957","2018-08-14",7162,737,30,7929
"958","2018-08-15",6142,691,30,6863
"959","2018-08-16",7270,1129,79,8478
"960","2018-08-17",6644,927,59,7630
"961","2018-08-18",5433,940,47,6420
"962","2018-08-19",5707,846,24,6577
"963","2018-08-20",7223,1252,33,8508
"964","2018-08-21",6793,1304,77,8174
"965","2018-08-22",6946,1097,49,8092
"966","2018-08-23",6827,855,47,7729
"967","2018-08-24",6479,1141,86,7706
"968","2018-08-25",5041,1011,45,6097
"969","2018-08-26",5692,1055,36,6783
"970","2018-08-27",7137,1050,57,8244
"971","2018-08-28",6897,1154,49,8100
"972","2018-08-29",6724,1072,47,7843
"973","2018-08-30",6415,1056,94,7565
"974","2018-08-31",6126,848,62,7036
"975","2018-09-01",4621,697,31,5349
"976","2018-09-02",5149,740,8,5897
"977","2018-09-03",6554,860,53,7467
"978","2018-09-04",6307,776,59,7142
"979","2018-09-05",6309,923,54,7286
"980","2018-09-06",5893,772,89,6754
"981","2018-09-07",5914,896,55,6865
"982","2018-09-08",4730,750,19,5499
"983","2018-09-09",5236,669,12,5917
"984","2018-09-10",6655,765,79,7499
"985","2018-09-11",5917,803,86,6806
"986","2018-09-12",6070,672,72,6814
"987","2018-09-13",5945,1071,69,7085
"988","2018-09-14",5998,1297,42,7337
"989","2018-09-15",4692,1102,21,5815
"990","2018-09-16",5361,959,21,6341
"991","2018-09-17",3635,1020,81,4736
"992","2018-09-18",1454,1155,78,2687
"993","2018-09-19",4306,1037,98,5441
"994","2018-09-20",6150,1240,110,7500
"995","2018-09-21",5692,1175,68,6935
"996","2018-09-22",4596,1184,52,5832
"997","2018-09-23",4130,1164,40,5334
"998","2018-09-24",3366,1054,38,4458
"999","2018-09-25",3740,833,18,4591
"1000","2018-09-26",5053,1203,46,6302
"1001","2018-09-27",6348,624,63,7035
"1002","2018-09-28",5883,618,123,6624
"1003","2018-09-29",5234,487,64,5785
"1004","2018-09-30",5655,600,53,6308
"1005","2018-10-01",6540,776,65,7381
"1006","2018-10-02",6014,785,48,6847
"1007","2018-10-03",5417,880,30,6327
"1008","2018-10-04",6322,920,52,7294
"1009","2018-10-05",6226,1105,41,7372
"1010","2018-10-06",4973,787,32,5792
"1011","2018-10-07",5031,961,59,6051
"1012","2018-10-08",6112,1164,87,7363
"1013","2018-10-09",5770,964,19,6753
"1014","2018-10-10",6476,741,30,7247
"1015","2018-10-11",6112,924,79,7115
"1016","2018-10-12",5700,1091,65,6856
"1017","2018-10-13",4339,982,52,5373
"1018","2018-10-14",4903,1001,66,5970
"1019","2018-10-15",6365,1037,52,7454
"1020","2018-10-16",6189,1244,45,7478
"1021","2018-10-17",5773,1132,58,6963
"1022","2018-10-18",2801,1051,76,3928
"1023","2018-10-19",3986,982,33,5001
"1024","2018-10-20",4396,971,25,5392
"1025","2018-10-21",4880,1080,15,5975
"1026","2018-10-22",6380,1122,88,7590
"1027","2018-10-23",6302,967,52,7321
"1028","2018-10-24",5928,886,67,6881
"1029","2018-10-25",5795,968,79,6842
"1030","2018-10-26",6402,1024,52,7478
"1031","2018-10-27",4465,943,33,5441
"1032","2018-10-28",4997,828,47,5872
"1033","2018-10-29",6551,1092,70,7713
"1034","2018-10-30",6216,1100,67,7383
"1035","2018-10-31",6001,981,56,7038
"1036","2018-11-01",5723,920,52,6695
"1037","2018-11-02",5504,866,49,6419
"1038","2018-11-03",4475,888,27,5390
"1039","2018-11-04",5152,938,42,6132
"1040","2018-11-05",6414,998,75,7487
"1041","2018-11-06",6221,1033,41,7295
"1042","2018-11-07",6281,920,49,7250
"1043","2018-11-08",6193,1038,52,7283
"1044","2018-11-09",5721,1005,70,6796
"1045","2018-11-10",4472,880,24,5376
"1046","2018-11-11",5124,1002,40,6166
"1047","2018-11-12",6598,1054,85,7737
"1048","2018-11-13",6054,1108,35,7197
"1049","2018-11-14",6170,1035,48,7253
"1050","2018-11-15",6183,1110,89,7382
"1051","2018-11-16",5737,1151,60,6948
"1052","2018-11-17",4542,1092,37,5671
"1053","2018-11-18",5073,1057,33,6163
"1054","2018-11-19",6771,1183,47,8001
"1055","2018-11-20",6248,1175,70,7493
"1056","2018-11-21",6394,1175,43,7612
"1057","2018-11-22",6125,1345,77,7547
"1058","2018-11-23",5897,1318,39,7254
"1059","2018-11-24",4776,1070,21,5867
"1060","2018-11-25",5126,1123,40,6289
"1061","2018-11-26",6581,1215,50,7846
"1062","2018-11-27",6445,1177,51,7673
"1063","2018-11-28",6278,1252,82,7612
"1064","2018-11-29",5971,1106,95,7172
"1065","2018-11-30",6011,1250,87,7348
"1066","2018-12-01",4697,1141,30,5868
"1067","2018-12-02",5186,1019,27,6232
"1068","2018-12-03",6411,1258,74,7743
"1069","2018-12-04",6311,1404,79,7794
"1070","2018-12-05",6270,1223,72,7565
"1071","2018-12-06",5996,1158,338,7492
"1072","2018-12-07",5719,1201,83,7003
"1073","2018-12-08",4606,1241,36,5883
"1074","2018-12-09",4858,1166,15,6039
"1075","2018-12-10",6141,1277,74,7492
"1076","2018-12-11",6167,1283,47,7497
"1077","2018-12-12",6118,1151,45,7314
"1078","2018-12-13",5937,1286,118,7341
"1079","2018-12-14",5469,1296,91,6856
"1080","2018-12-15",4534,929,31,5494
"1081","2018-12-16",4882,1287,25,6194
"1082","2018-12-17",5342,1434,486,7262
"1083","2018-12-18",5616,1495,62,7173
"1084","2018-12-19",5205,1323,88,6616
"1085","2018-12-20",5518,1416,130,7064
"1086","2018-12-21",5125,1304,160,6589
"1087","2018-12-22",4104,1292,33,5429
"1088","2018-12-23",4377,1872,46,6295
"1089","2018-12-24",5099,1593,82,6774
"1090","2018-12-25",4512,1123,26,5661
"1091","2018-12-26",5830,1326,90,7246
"1092","2018-12-27",5504,1522,104,7130
"1093","2018-12-28",5324,1346,77,6747
"1094","2018-12-29",4325,996,54,5375
"1095","2018-12-30",4679,1172,44,5895
"1096","2018-12-31",5167,1349,54,6570
"1097","2019-01-01",4192,890,23,5105
"1098","2019-01-02",5712,1565,88,7365
"1099","2019-01-03",5873,1757,114,7744
"1100","2019-01-04",5437,1727,102,7266
"1101","2019-01-05",4923,1349,33,6305
"1102","2019-01-06",5096,1169,11,6276
"1103","2019-01-07",6287,1325,66,7678
"1104","2019-01-08",6305,1561,87,7953
"1105","2019-01-09",6681,1844,133,8658
"1106","2019-01-10",6473,1583,256,8312
"1107","2019-01-11",6265,1656,119,8040
"1108","2019-01-12",5195,1437,22,6654
"1109","2019-01-13",5652,1737,21,7410
"1110","2019-01-14",7085,1831,113,9029
"1111","2019-01-15",6668,1650,70,8388
"1112","2019-01-16",6425,1449,119,7993
"1113","2019-01-17",6598,1777,161,8536
"1114","2019-01-18",6381,1798,141,8320
"1115","2019-01-19",5198,1762,62,7022
"1116","2019-01-20",5778,1641,71,7490
"1117","2019-01-21",7428,1871,144,9443
"1118","2019-01-22",6644,1785,98,8527
"1119","2019-01-23",6190,1892,151,8233
"1120","2019-01-24",5867,1682,144,7693
"1121","2019-01-25",5771,1528,135,7434
"1122","2019-01-26",4543,1593,63,6199
"1123","2019-01-27",5122,1630,111,6863
"1124","2019-01-28",6391,1616,122,8129
"1125","2019-01-29",6026,1810,114,7950
"1126","2019-01-30",5844,1873,117,7834
"1127","2019-01-31",5917,1494,127,7538
"1128","2019-02-01",5386,1657,139,7182
"1129","2019-02-02",4530,1705,60,6295
"1130","2019-02-03",4784,1998,96,6878
"1131","2019-02-04",4198,1757,64,6019
"1132","2019-02-05",3240,1635,63,4938
"1133","2019-02-06",4188,1834,148,6170
"1134","2019-02-07",5619,2065,154,7838
"1135","2019-02-08",5608,1973,176,7757
"1136","2019-02-09",5045,2007,102,7154
"1137","2019-02-10",5798,2125,89,8012
"1138","2019-02-11",6595,1784,136,8515
"1139","2019-02-12",6434,1905,73,8412
"1140","2019-02-13",6538,2022,94,8654
"1141","2019-02-14",6361,1927,137,8425
"1142","2019-02-15",6140,1895,109,8144
"1143","2019-02-16",5312,2251,27,7590
"1144","2019-02-17",6110,2060,59,8229
"1145","2019-02-18",6973,1779,99,8851
"1146","2019-02-19",6675,2017,89,8781
"1147","2019-02-20",6426,2046,79,8551
"1148","2019-02-21",6428,2080,122,8630
"1149","2019-02-22",6107,1978,109,8194
"1150","2019-02-23",5268,2044,35,7347
"1151","2019-02-24",5986,2256,22,8264
"1152","2019-02-25",7067,2172,95,9334
"1153","2019-02-26",6350,2050,95,8495
"1154","2019-02-27",6380,1339,85,7804
"1155","2019-02-28",6095,1807,105,8007
"1156","2019-03-01",5653,1941,87,7681
"1157","2019-03-02",5778,2151,38,7967
"1158","2019-03-03",6254,1775,54,8083
"1159","2019-03-04",6566,1853,97,8516
"1160","2019-03-05",6283,1730,134,8147
"1161","2019-03-06",5880,1922,95,7897
"1162","2019-03-07",5763,1616,105,7484
"1163","2019-03-08",5517,1649,103,7269
"1164","2019-03-09",5081,1500,36,6617
"1165","2019-03-10",5696,1712,44,7452
"1166","2019-03-11",6672,1690,69,8431
"1167","2019-03-12",5992,1797,116,7905
"1168","2019-03-13",5988,1452,58,7498
"1169","2019-03-14",5778,1554,105,7437
"1170","2019-03-15",5761,1647,109,7517
"1171","2019-03-16",4755,1724,31,6510
"1172","2019-03-17",5431,1509,27,6967
"1173","2019-03-18",6399,1702,65,8166
"1174","2019-03-19",6043,1602,75,7720
"1175","2019-03-20",6005,1621,131,7757
"1176","2019-03-21",5782,1618,59,7459
"1177","2019-03-22",5677,1686,92,7455
"1178","2019-03-23",4676,1729,22,6427
"1179","2019-03-24",5290,1736,46,7072
"1180","2019-03-25",6565,1738,68,8371
"1181","2019-03-26",5807,1683,56,7546
"1182","2019-03-27",5980,1725,113,7818
"1183","2019-03-28",5685,1622,79,7386
"1184","2019-03-29",5692,1649,56,7397
"1185","2019-03-30",4702,1752,20,6474
"1186","2019-03-31",5394,1585,34,7013
"1187","2019-04-01",6450,1458,122,8030
"1188","2019-04-02",5844,1666,86,7596
"1189","2019-04-03",5823,1433,70,7326
"1190","2019-04-04",5712,1623,60,7395
"1191","2019-04-05",5415,1463,100,6978
"1192","2019-04-06",4596,1693,32,6321
"1193","2019-04-07",5242,1649,36,6927
"1194","2019-04-08",6322,1774,100,8196
"1195","2019-04-09",6193,1635,69,7897
"1196","2019-04-10",5824,1773,75,7672
"1197","2019-04-11",5717,1515,56,7288
"1198","2019-04-12",5346,1377,94,6817
"1199","2019-04-13",4522,1678,37,6237
"1200","2019-04-14",5048,1308,45,6401
"1201","2019-04-15",6169,2080,72,8321
"1202","2019-04-16",5797,1720,43,7560
"1203","2019-04-17",5734,1706,75,7515
"1204","2019-04-18",5516,1690,69,7275
"1205","2019-04-19",5310,1517,86,6913
"1206","2019-04-20",4281,1661,44,5986
"1207","2019-04-21",5001,1823,44,6868
"1208","2019-04-22",5915,1945,106,7966
"1209","2019-04-23",5628,1718,67,7413
"1210","2019-04-24",5476,1531,142,7149
"1211","2019-04-25",5627,1395,66,7088
"1212","2019-04-26",4939,1599,39,6577
"1213","2019-04-27",4245,1692,17,5954
"1214","2019-04-28",4839,1735,36,6610
"1215","2019-04-29",6221,1690,73,7984
"1216","2019-04-30",5863,1800,35,7698
