"","social_health.date","social_health.blog","social_health.twitter","social_health.news","social_health.total"
"612","2017-09-03",1782,4095,292,6169
"613","2017-09-04",4655,4812,814,10281
"614","2017-09-05",4586,4593,706,9885
"615","2017-09-06",4649,4359,687,9695
"616","2017-09-07",4628,3936,766,9330
"617","2017-09-08",4412,4144,611,9167
"618","2017-09-09",2105,3963,223,6291
"619","2017-09-10",1950,4189,268,6407
"620","2017-09-11",4550,4642,677,9869
"621","2017-09-12",4649,4303,670,9622
"622","2017-09-13",4690,4457,664,9811
"623","2017-09-14",4507,4568,669,9744
"624","2017-09-15",4342,4630,581,9553
"625","2017-09-16",2246,3665,176,6087
"626","2017-09-17",2017,4091,277,6385
"627","2017-09-18",4684,4791,846,10321
"628","2017-09-19",4578,5177,716,10471
"629","2017-09-20",4687,4929,876,10492
"630","2017-09-21",4598,5074,795,10467
"631","2017-09-22",4335,7299,637,12271
"632","2017-09-23",2196,3984,214,6394
"633","2017-09-24",2045,4524,325,6894
"634","2017-09-25",4491,4839,848,10178
"635","2017-09-26",4378,4672,834,9884
"636","2017-09-27",4384,4461,822,9667
"637","2017-09-28",4063,4337,900,9300
"638","2017-09-29",3896,4335,619,8850
"639","2017-09-30",2118,4597,214,6929
"640","2017-10-01",1797,4252,205,6254
"641","2017-10-02",2582,4213,284,7079
"642","2017-10-03",1764,4003,223,5990
"643","2017-10-04",1364,3879,163,5406
"644","2017-10-05",1652,3634,194,5480
"645","2017-10-06",2028,4064,216,6308
"646","2017-10-07",1855,3896,235,5986
"647","2017-10-08",1771,4049,279,6099
"648","2017-10-09",2482,3877,393,6752
"649","2017-10-10",4169,4592,842,9603
"650","2017-10-11",4429,6793,731,11953
"651","2017-10-12",4552,6553,737,11842
"652","2017-10-13",4335,5102,659,10096
"653","2017-10-14",2251,3781,215,6247
"654","2017-10-15",2039,3755,320,6114
"655","2017-10-16",4488,4311,794,9593
"656","2017-10-17",4704,4321,710,9735
"657","2017-10-18",4461,4511,777,9749
"658","2017-10-19",4456,4398,607,9461
"659","2017-10-20",3816,4465,589,8870
"660","2017-10-21",2021,4190,212,6423
"661","2017-10-22",2047,4388,294,6729
"662","2017-10-23",4833,4536,758,10127
"663","2017-10-24",4512,4421,888,9821
"664","2017-10-25",4531,4299,838,9668
"665","2017-10-26",4579,3440,814,8833
"666","2017-10-27",4192,3890,599,8681
"667","2017-10-28",2272,3810,219,6301
"668","2017-10-29",2137,4034,358,6529
"669","2017-10-30",4819,4712,822,10353
"670","2017-10-31",4738,4361,850,9949
"671","2017-11-01",4609,4733,805,10147
"672","2017-11-02",4478,4387,693,9558
"673","2017-11-03",4297,4765,571,9633
"674","2017-11-04",2177,4783,185,7145
"675","2017-11-05",2098,4677,243,7018
"676","2017-11-06",4422,4796,784,10002
"677","2017-11-07",4504,4876,700,10080
"678","2017-11-08",4639,4623,757,10019
"679","2017-11-09",4311,4367,804,9482
"680","2017-11-10",4329,4788,575,9692
"681","2017-11-11",2124,4222,182,6528
"682","2017-11-12",2001,4130,291,6422
"683","2017-11-13",4671,4193,633,9497
"684","2017-11-14",4672,4301,764,9737
"685","2017-11-15",4451,4002,683,9136
"686","2017-11-16",4480,4198,658,9336
"687","2017-11-17",4326,4411,566,9303
"688","2017-11-18",2305,4244,203,6752
"689","2017-11-19",2125,4216,324,6665
"690","2017-11-20",4760,4777,724,10261
"691","2017-11-21",4556,4634,777,9967
"692","2017-11-22",4686,4523,883,10092
"693","2017-11-23",4395,3892,704,8991
"694","2017-11-24",4476,4334,608,9418
"695","2017-11-25",2182,3526,183,5891
"696","2017-11-26",1911,3959,295,6165
"697","2017-11-27",4472,4014,707,9193
"698","2017-11-28",4391,4541,664,9596
"699","2017-11-29",4534,4205,829,9568
"700","2017-11-30",4475,3599,845,8919
"701","2017-12-01",4251,3617,729,8597
"702","2017-12-02",2138,2877,242,5257
"703","2017-12-03",1999,3433,298,5730
"704","2017-12-04",4558,4855,794,10207
"705","2017-12-05",4618,4939,691,10248
"706","2017-12-06",4643,4897,765,10305
"707","2017-12-07",4394,4679,557,9630
"708","2017-12-08",4327,3828,533,8688
"709","2017-12-09",1981,4469,195,6645
"710","2017-12-10",1874,4309,455,6638
"711","2017-12-11",4756,5017,906,10679
"712","2017-12-12",4738,4646,883,10267
"713","2017-12-13",5052,4281,1003,10336
"714","2017-12-14",4805,3913,833,9551
"715","2017-12-15",4445,4030,636,9111
"716","2017-12-16",2212,4434,209,6855
"717","2017-12-17",2011,6579,323,8913
"718","2017-12-18",4477,4422,683,9582
"719","2017-12-19",4573,4608,687,9868
"720","2017-12-20",4537,5111,879,10527
"721","2017-12-21",4321,3489,715,8525
"722","2017-12-22",4203,4279,650,9132
"723","2017-12-23",2201,4196,179,6576
"724","2017-12-24",1816,4022,173,6011
"725","2017-12-25",2129,4037,284,6450
"726","2017-12-26",4553,4953,955,10461
"727","2017-12-27",4719,5115,914,10748
"728","2017-12-28",4601,4844,805,10250
"729","2017-12-29",4295,5022,683,10000
"730","2017-12-30",2534,5369,220,8123
"731","2017-12-31",2765,6992,365,10122
"732","2018-01-01",3640,8255,503,12398
"733","2018-01-02",5314,5382,892,11588
"734","2018-01-03",5009,7885,694,13588
"735","2018-01-04",4880,7336,848,13064
"736","2018-01-05",4664,5421,509,10594
"737","2018-01-06",2383,4832,162,7377
"738","2018-01-07",2298,4866,348,7512
"739","2018-01-08",4892,5401,773,11066
"740","2018-01-09",5110,5146,657,10913
"741","2018-01-10",4996,5220,760,10976
"742","2018-01-11",4965,4234,712,9911
"743","2018-01-12",4981,4807,623,10411
"744","2018-01-13",2506,3871,181,6558
"745","2018-01-14",2324,5137,355,7816
"746","2018-01-15",4839,5770,645,11254
"747","2018-01-16",3886,5240,821,9947
"748","2018-01-17",5295,4828,778,10901
"749","2018-01-18",5244,4421,833,10498
"750","2018-01-19",4997,4870,618,10485
"751","2018-01-20",2541,2088,154,4783
"752","2018-01-21",3263,4491,233,7987
"753","2018-01-22",5228,4867,763,10858
"754","2018-01-23",5470,4619,1071,11160
"755","2018-01-24",5335,4933,949,11217
"756","2018-01-25",5272,5034,914,11220
"757","2018-01-26",5033,4517,676,10226
"758","2018-01-27",2724,3883,223,6830
"759","2018-01-28",2490,4187,252,6929
"760","2018-01-29",5159,4086,876,10121
"761","2018-01-30",5098,4191,915,10204
"762","2018-01-31",4929,4138,832,9899
"763","2018-02-01",4713,4273,691,9677
"764","2018-02-02",4792,3806,559,9157
"765","2018-02-03",2886,3858,247,6991
"766","2018-02-04",2804,3582,279,6665
"767","2018-02-05",5223,6973,652,12848
"768","2018-02-06",5461,4508,740,10709
"769","2018-02-07",5297,4133,727,10157
"770","2018-02-08",5247,4221,712,10180
"771","2018-02-09",4860,3787,508,9155
"772","2018-02-10",2845,2138,190,5173
"773","2018-02-11",2174,3563,213,5950
"774","2018-02-12",4848,4109,741,9698
"775","2018-02-13",5002,4079,680,9761
"776","2018-02-14",4396,3797,532,8725
"777","2018-02-15",2202,3826,213,6241
"778","2018-02-16",1873,3916,221,6010
"779","2018-02-17",1726,3315,191,5232
"780","2018-02-18",2297,4087,270,6654
"781","2018-02-19",3233,3759,560,7552
"782","2018-02-20",2835,3990,678,7503
"783","2018-02-21",4957,3725,641,9323
"784","2018-02-22",4889,2441,633,7963
"785","2018-02-23",4951,4001,536,9488
"786","2018-02-24",2657,3198,163,6018
"787","2018-02-25",2335,2771,255,5361
"788","2018-02-26",4870,3867,659,9396
"789","2018-02-27",4986,3966,771,9723
"790","2018-02-28",4851,4337,640,9828
"791","2018-03-01",3189,3961,347,7497
"792","2018-03-02",5111,3796,643,9550
"793","2018-03-03",2870,3502,186,6558
"794","2018-03-04",2668,4372,209,7249
"795","2018-03-05",4947,3214,697,8858
"796","2018-03-06",4697,3993,718,9408
"797","2018-03-07",5072,4194,599,9865
"798","2018-03-08",4973,3728,616,9317
"799","2018-03-09",4706,3665,536,8907
"800","2018-03-10",2756,3703,200,6659
"801","2018-03-11",2616,3579,299,6494
"802","2018-03-12",5195,4525,693,10413
"803","2018-03-13",5062,4018,752,9832
"804","2018-03-14",5096,4026,718,9840
"805","2018-03-15",4957,3966,771,9694
"806","2018-03-16",4702,4193,500,9395
"807","2018-03-17",1462,4098,187,5747
"808","2018-03-18",2134,3673,410,6217
"809","2018-03-19",5194,4445,593,10232
"810","2018-03-20",5553,4629,986,11168
"811","2018-03-21",5570,4296,772,10638
"812","2018-03-22",5295,3894,736,9925
"813","2018-03-23",4975,4059,598,9632
"814","2018-03-24",2629,4025,237,6891
"815","2018-03-25",2886,4714,371,7971
"816","2018-03-26",5939,5547,831,12317
"817","2018-03-27",5871,4142,912,10925
"818","2018-03-28",5550,4649,858,11057
"819","2018-03-29",5456,4467,892,10815
"820","2018-03-30",4996,4094,741,9831
"821","2018-03-31",2911,3993,217,7121
"822","2018-04-01",2655,3834,314,6803
"823","2018-04-02",4927,4523,740,10190
"824","2018-04-03",5238,4127,752,10117
"825","2018-04-04",5398,3814,838,10050
"826","2018-04-05",5503,3497,760,9760
"827","2018-04-06",5445,3382,695,9522
"828","2018-04-07",3159,3458,218,6835
"829","2018-04-08",2798,3432,362,6592
"830","2018-04-09",5384,4296,712,10392
"831","2018-04-10",5094,3783,684,9561
"832","2018-04-11",5336,3486,677,9499
"833","2018-04-12",5031,3572,640,9243
"834","2018-04-13",5010,3579,575,9164
"835","2018-04-14",3001,2741,192,5934
"836","2018-04-15",2731,3145,342,6218
"837","2018-04-16",5165,3950,767,9882
"838","2018-04-17",4886,4087,924,9897
"839","2018-04-18",5399,4456,839,10694
"840","2018-04-19",5426,4427,834,10687
"841","2018-04-20",5339,4284,583,10206
"842","2018-04-21",2946,3745,202,6893
"843","2018-04-22",2817,3783,262,6862
"844","2018-04-23",5356,4545,722,10623
"845","2018-04-24",5252,4475,786,10513
"846","2018-04-25",5211,4490,946,10647
"847","2018-04-26",4751,3824,823,9398
"848","2018-04-27",4753,3606,489,8848
"849","2018-04-28",2851,3786,245,6882
"850","2018-04-29",2676,3183,251,6110
"851","2018-04-30",5076,4039,717,9832
"852","2018-05-01",3990,4002,455,8447
"853","2018-05-02",5206,3374,652,9232
"854","2018-05-03",5255,3173,764,9192
"855","2018-05-04",4888,3344,582,8814
"856","2018-05-05",2515,3139,191,5845
"857","2018-05-06",2535,2530,189,5254
"858","2018-05-07",3389,2741,351,6481
"859","2018-05-08",5246,4096,921,10263
"860","2018-05-09",5442,2747,861,9050
"861","2018-05-10",5361,4047,927,10335
"862","2018-05-11",5034,3770,827,9631
"863","2018-05-12",2896,2373,199,5468
"864","2018-05-13",2347,2079,257,4683
"865","2018-05-14",2598,3237,721,6556
"866","2018-05-15",3816,3549,691,8056
"867","2018-05-16",5627,3072,772,9471
"868","2018-05-17",5210,2994,626,8830
"869","2018-05-18",5013,2886,535,8434
"870","2018-05-19",2818,2568,133,5519
"871","2018-05-20",2569,2353,321,5243
"872","2018-05-21",4764,3085,585,8434
"873","2018-05-22",3011,2545,341,5897
"874","2018-05-23",5009,2892,649,8550
"875","2018-05-24",4953,3167,789,8909
"876","2018-05-25",2395,3658,597,6650
"877","2018-05-26",2296,3310,196,5802
"878","2018-05-27",3072,3797,301,7170
"879","2018-05-28",5605,4037,764,10406
"880","2018-05-29",5224,4029,672,9925
"881","2018-05-30",5196,3502,753,9451
"882","2018-05-31",5207,2769,681,8657
"883","2018-06-01",5203,3157,603,8963
"884","2018-06-02",3025,2259,195,5479
"885","2018-06-03",2822,2628,226,5676
"886","2018-06-04",5187,3864,794,9845
"887","2018-06-05",5234,3441,736,9411
"888","2018-06-06",3326,3107,330,6763
"889","2018-06-07",5439,3277,836,9552
"890","2018-06-08",5091,2729,593,8413
"891","2018-06-09",2885,2293,162,5340
"892","2018-06-10",2790,2711,232,5733
"893","2018-06-11",5260,3200,692,9152
"894","2018-06-12",4912,2687,481,8080
"895","2018-06-13",3394,1510,209,5113
"896","2018-06-14",4986,2523,576,8085
"897","2018-06-15",4669,3462,454,8585
"898","2018-06-16",3388,3434,150,6972
"899","2018-06-17",3320,2571,234,6125
"900","2018-06-18",5958,4045,663,10666
"901","2018-06-19",5622,3560,655,9837
"902","2018-06-20",6315,3623,751,10689
"903","2018-06-21",6703,3303,666,10672
"904","2018-06-22",6320,2910,658,9888
"905","2018-06-23",3695,2378,220,6293
"906","2018-06-24",3646,2866,320,6832
"907","2018-06-25",6209,3499,680,10388
"908","2018-06-26",6476,3215,687,10378
"909","2018-06-27",6004,3647,807,10458
"910","2018-06-28",5423,3079,826,9328
"911","2018-06-29",5564,3664,568,9796
"912","2018-06-30",3444,3702,185,7331
"913","2018-07-01",3116,3112,298,6526
"914","2018-07-02",5689,3680,774,10143
"915","2018-07-03",5669,4050,772,10491
"916","2018-07-04",5951,4044,832,10827
"917","2018-07-05",5916,3723,679,10318
"918","2018-07-06",5741,3434,470,9645
"919","2018-07-07",4059,3153,157,7369
"920","2018-07-08",3400,3135,240,6775
"921","2018-07-09",5651,3270,740,9661
"922","2018-07-10",5772,3846,876,10494
"923","2018-07-11",5749,3527,960,10236
"924","2018-07-12",6312,3320,767,10399
"925","2018-07-13",6062,3304,587,9953
"926","2018-07-14",3576,2426,246,6248
"927","2018-07-15",1800,2220,298,4318
"928","2018-07-16",5396,4199,741,10336
"929","2018-07-17",6972,4869,762,12603
"930","2018-07-18",6723,4368,847,11938
"931","2018-07-19",6694,3982,740,11416
"932","2018-07-20",6738,4653,532,11923
"933","2018-07-21",4260,3908,211,8379
"934","2018-07-22",4062,4163,343,8568
"935","2018-07-23",7589,4921,819,13329
"936","2018-07-24",7443,4212,980,12635
"937","2018-07-25",7337,4716,881,12934
"938","2018-07-26",7374,4287,898,12559
"939","2018-07-27",6755,4918,598,12271
"940","2018-07-28",3632,3408,190,7230
"941","2018-07-29",3408,3196,381,6985
"942","2018-07-30",6192,3883,814,10889
"943","2018-07-31",6642,3568,719,10929
"944","2018-08-01",6774,4638,708,12120
"945","2018-08-02",6147,3421,788,10356
"946","2018-08-03",6038,4114,608,10760
"947","2018-08-04",3522,2571,202,6295
"948","2018-08-05",3323,3022,258,6603
"949","2018-08-06",5811,3095,727,9633
"950","2018-08-07",6052,2556,678,9286
"951","2018-08-08",6048,2212,734,8994
"952","2018-08-09",5823,3174,677,9674
"953","2018-08-10",6489,2618,568,9675
"954","2018-08-11",3071,2868,196,6135
"955","2018-08-12",2913,2639,198,5750
"956","2018-08-13",5991,3273,653,9917
"957","2018-08-14",5746,3528,672,9946
"958","2018-08-15",3652,2447,350,6449
"959","2018-08-16",5842,3812,574,10228
"960","2018-08-17",5315,5045,439,10799
"961","2018-08-18",3073,3737,183,6993
"962","2018-08-19",3002,3227,270,6499
"963","2018-08-20",5538,4990,626,11154
"964","2018-08-21",5522,4750,642,10914
"965","2018-08-22",5572,6479,671,12722
"966","2018-08-23",5378,3598,641,9617
"967","2018-08-24",4895,4411,438,9744
"968","2018-08-25",2548,4184,143,6875
"969","2018-08-26",2507,3916,280,6703
"970","2018-08-27",5062,4653,697,10412
"971","2018-08-28",4948,4464,631,10043
"972","2018-08-29",2057,4093,796,6946
"973","2018-08-30",3996,4135,577,8708
"974","2018-08-31",4948,3690,523,9161
"975","2018-09-01",2516,3468,117,6101
"976","2018-09-02",2412,3586,220,6218
"977","2018-09-03",5043,4356,632,10031
"978","2018-09-04",5112,3751,816,9679
"979","2018-09-05",2282,3328,681,6291
"980","2018-09-06",4022,3426,708,8156
"981","2018-09-07",5103,3353,549,9005
"982","2018-09-08",2934,3077,206,6217
"983","2018-09-09",2829,3130,342,6301
"984","2018-09-10",5830,3593,920,10343
"985","2018-09-11",5248,3395,733,9376
"986","2018-09-12",5450,3169,685,9304
"987","2018-09-13",5392,3600,711,9703
"988","2018-09-14",5230,4145,517,9892
"989","2018-09-15",2752,3807,143,6702
"990","2018-09-16",2744,3975,240,6959
"991","2018-09-17",5454,5146,651,11251
"992","2018-09-18",5445,4177,627,10249
"993","2018-09-19",5343,4297,568,10208
"994","2018-09-20",5329,4559,649,10537
"995","2018-09-21",5046,4379,522,9947
"996","2018-09-22",2753,4577,247,7577
"997","2018-09-23",2218,4500,195,6913
"998","2018-09-24",2083,4424,173,6680
"999","2018-09-25",2265,3720,158,6143
"1000","2018-09-26",3073,3530,281,6884
"1001","2018-09-27",5112,1596,671,7379
"1002","2018-09-28",5211,2110,478,7799
"1003","2018-09-29",2938,1874,180,4992
"1004","2018-09-30",2802,2027,313,5142
"1005","2018-10-01",5658,3418,752,9828
"1006","2018-10-02",5535,4645,692,10872
"1007","2018-10-03",3466,3204,275,6945
"1008","2018-10-04",5308,3108,612,9028
"1009","2018-10-05",5402,4222,553,10177
"1010","2018-10-06",2899,3790,146,6835
"1011","2018-10-07",1355,3767,301,5423
"1012","2018-10-08",3917,5287,667,9871
"1013","2018-10-09",3091,4153,294,7538
"1014","2018-10-10",5690,5345,689,11724
"1015","2018-10-11",5640,4579,705,10924
"1016","2018-10-12",5540,6779,617,12936
"1017","2018-10-13",2951,5351,280,8582
"1018","2018-10-14",2703,4230,388,7321
"1019","2018-10-15",5288,4564,739,10591
"1020","2018-10-16",2484,4461,690,7635
"1021","2018-10-17",4350,4267,625,9242
"1022","2018-10-18",5432,4657,657,10746
"1023","2018-10-19",5461,5755,663,11879
"1024","2018-10-20",3035,4291,188,7514
"1025","2018-10-21",2700,3975,298,6973
"1026","2018-10-22",5527,4736,605,10868
"1027","2018-10-23",5656,4268,656,10580
"1028","2018-10-24",5464,3799,739,10002
"1029","2018-10-25",5341,4065,733,10139
"1030","2018-10-26",5157,4492,555,10204
"1031","2018-10-27",2743,3643,185,6571
"1032","2018-10-28",2772,3573,334,6679
"1033","2018-10-29",5558,4629,714,10901
"1034","2018-10-30",5642,4090,788,10520
"1035","2018-10-31",5549,4290,785,10624
"1036","2018-11-01",5454,4274,739,10467
"1037","2018-11-02",5180,3878,584,9642
"1038","2018-11-03",2792,3646,201,6639
"1039","2018-11-04",2693,4355,329,7377
"1040","2018-11-05",5616,4749,784,11149
"1041","2018-11-06",5761,4731,746,11238
"1042","2018-11-07",6127,4349,851,11327
"1043","2018-11-08",5758,4273,667,10698
"1044","2018-11-09",5481,4323,541,10345
"1045","2018-11-10",2878,3740,180,6798
"1046","2018-11-11",2685,3869,318,6872
"1047","2018-11-12",5564,4458,720,10742
"1048","2018-11-13",5487,4432,812,10731
"1049","2018-11-14",5552,3940,695,10187
"1050","2018-11-15",5163,4071,631,9865
"1051","2018-11-16",5052,4305,487,9844
"1052","2018-11-17",2707,4073,169,6949
"1053","2018-11-18",2600,4245,265,7110
"1054","2018-11-19",5587,4565,695,10847
"1055","2018-11-20",5584,4831,647,11062
"1056","2018-11-21",5720,4607,583,10910
"1057","2018-11-22",5826,4806,754,11386
"1058","2018-11-23",5406,4472,688,10566
"1059","2018-11-24",2803,4125,171,7099
"1060","2018-11-25",2423,3884,242,6549
"1061","2018-11-26",5474,4898,626,10998
"1062","2018-11-27",5609,4919,607,11135
"1063","2018-11-28",5889,4607,717,11213
"1064","2018-11-29",5459,4699,795,10953
"1065","2018-11-30",5582,4667,573,10822
"1066","2018-12-01",2750,4375,179,7304
"1067","2018-12-02",2705,3656,283,6644
"1068","2018-12-03",5509,5533,706,11748
"1069","2018-12-04",5846,5589,749,12184
"1070","2018-12-05",5554,5068,706,11328
"1071","2018-12-06",5488,5319,751,11558
"1072","2018-12-07",5356,5327,716,11399
"1073","2018-12-08",2730,4815,275,7820
"1074","2018-12-09",2530,4653,299,7482
"1075","2018-12-10",5504,5661,804,11969
"1076","2018-12-11",5392,5171,728,11291
"1077","2018-12-12",5562,4485,865,10912
"1078","2018-12-13",5277,4530,631,10438
"1079","2018-12-14",5047,4877,681,10605
"1080","2018-12-15",2585,3651,233,6469
"1081","2018-12-16",2405,4991,301,7697
"1082","2018-12-17",4258,5445,626,10329
"1083","2018-12-18",4757,5496,674,10927
"1084","2018-12-19",4745,5001,654,10400
"1085","2018-12-20",4696,5125,753,10574
"1086","2018-12-21",4665,4773,534,9972
"1087","2018-12-22",2563,4394,169,7126
"1088","2018-12-23",2255,4423,274,6952
"1089","2018-12-24",4314,5021,525,9860
"1090","2018-12-25",2220,4223,299,6742
"1091","2018-12-26",4944,4439,694,10077
"1092","2018-12-27",5264,4939,786,10989
"1093","2018-12-28",5248,5602,658,11508
"1094","2018-12-29",2614,3575,227,6416
"1095","2018-12-30",2402,5007,325,7734
"1096","2018-12-31",5238,7170,589,12997
"1097","2019-01-01",3649,7724,582,11955
"1098","2019-01-02",5810,6119,969,12898
"1099","2019-01-03",5444,5614,788,11846
"1100","2019-01-04",5116,5753,724,11593
"1101","2019-01-05",2630,4449,194,7273
"1102","2019-01-06",2436,3774,327,6537
"1103","2019-01-07",5080,4532,762,10374
"1104","2019-01-08",5479,4993,741,11213
"1105","2019-01-09",5679,5239,683,11601
"1106","2019-01-10",5393,4635,671,10699
"1107","2019-01-11",5225,5863,715,11803
"1108","2019-01-12",2735,4753,220,7708
"1109","2019-01-13",2455,4666,296,7417
"1110","2019-01-14",5966,5828,829,12623
"1111","2019-01-15",6187,5458,784,12429
"1112","2019-01-16",5812,6067,756,12635
"1113","2019-01-17",5572,5864,752,12188
"1114","2019-01-18",5211,5631,489,11331
"1115","2019-01-19",2867,4747,207,7821
"1116","2019-01-20",2454,4394,288,7136
"1117","2019-01-21",5420,5388,634,11442
"1118","2019-01-22",5414,5417,730,11561
"1119","2019-01-23",5061,5701,715,11477
"1120","2019-01-24",4830,5182,755,10767
"1121","2019-01-25",4809,5544,623,10976
"1122","2019-01-26",2541,5183,163,7887
"1123","2019-01-27",2364,4398,243,7005
"1124","2019-01-28",4821,4831,746,10398
"1125","2019-01-29",4857,5035,768,10660
"1126","2019-01-30",4662,4570,688,9920
"1127","2019-01-31",4617,3800,678,9095
"1128","2019-02-01",4265,4407,423,9095
"1129","2019-02-02",2271,4579,190,7040
"1130","2019-02-03",2001,4668,164,6833
"1131","2019-02-04",1975,5050,200,7225
"1132","2019-02-05",1725,5778,220,7723
"1133","2019-02-06",2120,4008,332,6460
"1134","2019-02-07",4436,4996,648,10080
"1135","2019-02-08",4483,5359,644,10486
"1136","2019-02-09",2529,4471,189,7189
"1137","2019-02-10",2188,4636,163,6987
"1138","2019-02-11",5071,4778,675,10524
"1139","2019-02-12",5358,5498,883,11739
"1140","2019-02-13",5261,5590,773,11624
"1141","2019-02-14",5151,4790,756,10697
"1142","2019-02-15",4974,4758,548,10280
"1143","2019-02-16",2701,4589,190,7480
"1144","2019-02-17",2742,4456,273,7471
"1145","2019-02-18",5254,5260,739,11253
"1146","2019-02-19",5247,4897,785,10929
"1147","2019-02-20",5346,6233,793,12372
"1148","2019-02-21",5016,5341,783,11140
"1149","2019-02-22",5063,4902,507,10472
"1150","2019-02-23",2644,4646,175,7465
"1151","2019-02-24",2610,4700,254,7564
"1152","2019-02-25",5804,5354,752,11910
"1153","2019-02-26",5089,4808,691,10588
"1154","2019-02-27",5190,4057,805,10052
"1155","2019-02-28",5009,5079,609,10697
"1156","2019-03-01",2958,4931,218,8107
"1157","2019-03-02",2781,4970,248,7999
"1158","2019-03-03",2671,4725,255,7651
"1159","2019-03-04",5062,5870,636,11568
"1160","2019-03-05",5865,5608,839,12312
"1161","2019-03-06",6189,5884,1061,13134
"1162","2019-03-07",5797,4988,890,11675
"1163","2019-03-08",5278,4247,613,10138
"1164","2019-03-09",2864,4019,214,7097
"1165","2019-03-10",2748,3962,358,7068
"1166","2019-03-11",5464,4433,888,10785
"1167","2019-03-12",5435,4110,751,10296
"1168","2019-03-13",5371,4173,737,10281
"1169","2019-03-14",5290,4076,880,10246
"1170","2019-03-15",5245,3908,652,9805
"1171","2019-03-16",2718,3603,225,6546
"1172","2019-03-17",2700,3586,261,6547
"1173","2019-03-18",5349,4525,848,10722
"1174","2019-03-19",5361,4348,803,10512
"1175","2019-03-20",5264,4555,756,10575
"1176","2019-03-21",5523,4332,807,10662
"1177","2019-03-22",5279,4201,604,10084
"1178","2019-03-23",2801,4166,197,7164
"1179","2019-03-24",2878,4509,257,7644
"1180","2019-03-25",5439,6500,716,12655
"1181","2019-03-26",5552,5045,877,11474
"1182","2019-03-27",5374,4655,884,10913
"1183","2019-03-28",5440,4459,787,10686
"1184","2019-03-29",5013,4160,521,9694
"1185","2019-03-30",2815,4050,201,7066
"1186","2019-03-31",2630,3958,370,6958
"1187","2019-04-01",5301,3986,720,10007
"1188","2019-04-02",5231,4364,700,10295
"1189","2019-04-03",5268,4028,815,10111
"1190","2019-04-04",5315,4707,715,10737
"1191","2019-04-05",5275,3895,641,9811
"1192","2019-04-06",2737,4221,250,7208
"1193","2019-04-07",2666,4282,314,7262
"1194","2019-04-08",5405,4483,770,10658
"1195","2019-04-09",5317,4863,733,10913
"1196","2019-04-10",5430,5786,894,12110
"1197","2019-04-11",5215,4754,761,10730
"1198","2019-04-12",4977,4269,640,9886
"1199","2019-04-13",2556,4056,206,6818
"1200","2019-04-14",2527,3452,306,6285
"1201","2019-04-15",5131,4847,707,10685
"1202","2019-04-16",4982,4277,619,9878
"1203","2019-04-17",5064,4384,784,10232
"1204","2019-04-18",4990,4444,891,10325
"1205","2019-04-19",4863,4702,654,10219
"1206","2019-04-20",2672,4443,209,7324
"1207","2019-04-21",2651,4051,319,7021
"1208","2019-04-22",5160,4493,889,10542
"1209","2019-04-23",5134,4500,757,10391
"1210","2019-04-24",5205,3910,855,9970
"1211","2019-04-25",5052,3666,785,9503
"1212","2019-04-26",4481,3856,723,9060
"1213","2019-04-27",2559,3158,154,5871
"1214","2019-04-28",2394,3888,200,6482
"1215","2019-04-29",5154,5662,800,11616
"1216","2019-04-30",4943,5030,777,10750
